class_id,support,predicted_count,precision,recall,f1,class_name
0,818,672,0.9717261904761905,0.7982885085574573,0.876510067114094,AnnualCrop
1,1077,1114,0.9587073608617595,0.9916434540389972,0.9748973071656778,Forest
2,816,849,0.8386336866902238,0.8725490196078431,0.8552552552552553,HerbaceousVegetation
3,340,360,0.9277777777777778,0.9823529411764705,0.9542857142857143,Highway
4,353,360,0.9444444444444444,0.9631728045325779,0.9537166900420757,Industrial
5,115,101,0.8118811881188119,0.7130434782608696,0.7592592592592593,Pasture
6,307,349,0.7277936962750716,0.8273615635179153,0.774390243902439,PermanentCrop
7,507,470,0.9957446808510638,0.9230769230769231,0.9580348004094166,Residential
8,331,344,0.8982558139534884,0.9335347432024169,0.9155555555555556,River
9,736,781,0.9346991037131882,0.9918478260869565,0.962425840474621,SeaLake
