class_id,support,predicted_count,precision,recall,f1,class_name
0,818,668,0.9341317365269461,0.7628361858190709,0.8398384925975774,AnnualCrop
1,1077,1110,0.9594594594594594,0.9888579387186629,0.9739368998628258,Forest
2,816,767,0.8435462842242504,0.7928921568627451,0.817435249526216,HerbaceousVegetation
3,340,375,0.88,0.9705882352941176,0.9230769230769231,Highway
4,353,385,0.8987012987012987,0.9801699716713881,0.9376693766937669,Industrial
5,115,108,0.8055555555555556,0.7565217391304347,0.7802690582959642,Pasture
6,307,343,0.717201166180758,0.8013029315960912,0.7569230769230769,PermanentCrop
7,507,489,0.983640081799591,0.9487179487179487,0.9658634538152611,Residential
8,331,368,0.8233695652173914,0.9154078549848943,0.8669527896995708,River
9,736,787,0.9161372299872935,0.9796195652173914,0.9468154957321077,SeaLake
